Артикул;Цена;Остаток;
FR5214PL-05BS;12990;5;
FR5214PL-05CH;12990;5;
FR5214PL-08BS;17990;8;
FR5214PL-08CH;17990;8;
FR5214WL-01BS;2490;1;
FR5214WL-01CH;2490;1;
FR5184PL-06BS;12990;6;
FR5184PL-06CH;12990;6;
FR5184PL-08BS;16990;8;
FR5184PL-08CH;16990;8;
FR5184WL-01BS;2590;1;
FR5184WL-01CH;2590;1;
FR5216PL-06BS;24990;6;
FR5216PL-09BS;33990;9;
FR5167PL-06BS;19990;6;
FR5167PL-08BS;23990;8;
FR5167PL-09BS;26790;9;
FR5167PL-12BS;34890;12;
FR5167WL-01BS;3390;1;
FR5167WL-02BS;5490;2;
FR5166PL-01BS;7990;1;
FR5166PL-01N;7990;1;
FR5166PL-06BS;28690;6;
FR5166PL-06N;28690;6;
FR5166WL-01BS;5790;1;
FR5166WL-01N;5790;1;
FR8018PL-01BS;6590;1;
FR8018PL-01N;6290;1;
FR5185PL-06BS;12690;6;
FR5185PL-08BS;17990;8;
FR5185WL-01BS;2990;1;
FR8002PL-01BS;6590;1;
FR5202PL-05BS;14990;5;
FR5202PL-08BS;23990;8;
FR5202WL-01BS;3290;1;
FR5183PL-06G;12990;6;
FR5183PL-08G;20990;8;
FR5183WL-01G;2990;1;
FR8011PL-01N;3590;1;
FR8011PL-01GB;3590;1;
FR5205PL-06BS;14990;6;
FR5205PL-08BS;19990;8;
FR5205WL-01BS;2990;1;
FR9001PL-01B;6990;1;
FR5189PL-09BS;32990;9;
FR5189PL-09CH;26590;9;
FR5189WL-02BS;7890;2;
FR5189WL-02CH;6590;2;
FR5178PL-01N;4590;1;
FR5178WL-01N;4990;1;
FR5171PL-06BS;16990;6;
FR5171PL-08BS;21990;8;
FR5171WL-01BS;3990;1;
FR5170PL-06N;19990;6;
FR5170PL-08N;25990;8;
FR5170WL-01N;4590;1;
FR5181PL-01BS;5990;1;
FR5181PL-01CH;5990;1;
FR5218PL-01BS;10090;1;
FR5218TL-01BS;9290;2;
FR5201FL-01B;9890;1;
FR5201PL-06B;12990;6;
FR5201PL-10B;19590;10;
FR5201TL-01B;5990;1;
FR5201WL-01B;3990;1;
FR5050PL-05BS;23990;5;
FR5050PL-05N;23990;5;
FR5050WL-01BS;3990;1;
FR5050WL-01N;3990;1;
FR5206PL-06FG;15990;6;
FR5206PL-08FG;22850;8;
FR5206PL-09FG;24990;9;
FR5206WL-01FG;2790;1;
FR5231PL-06CH;21590;6;
FR5231PL-07CH;10590;7;
FR5231PL-13CH;18990;13;
FR5231PL-19CH;26590;19;
FR5190WL-01BS2;4990;1;
FR5190PL-06BS;29990;6;
FR5232PL-04B;16590;4;
FR5232PL-06B;22990;6;
FR5232PL-06B1;22990;6;
FR5233WL-01BS;3990;1;
FR5175PL-06BS;13890;6;
FR5175PL-08BS;18490;8;
FR5175WL-01BS;2690;1;
FR5222PL-08B;23590;8;
FR5222PL-08B1;23590;8;
FR5124PL-02BS;7990;2;
FR5124WL-02BS;7990;2;
FR5233WL-02BS;8190;2;
FR5233PL-13BS;33590;13;
FR5233TL-01BS;5590;1;
FR5188PL-01B;5990;1;
FR5188PL-01B1;8990;1;
FR5188PL-01B2;5990;1;
FR5172PL-06BS;28990;6;
FR5186FL-01BS;14990;1;
FR5186PL-01BS;5590;1;
FR5186PL-06BS;19890;6;
FR5186PL-08BS;26390;8;
FR5186TL-01BS;8590;1;
FR5186WL-01BS;3690;1;
FR5217PL-05FG;19990;5;
FR5217PL-08FG;25990;8;
FR5217WL-02FG;5590;2;
FR5215PL-01BS;5590;1;
FR5215PL-01CH;5590;1;
FR5115PL-06BZ1;18990;6;
FR5115PL-08BZ;23990;8;
FR5115PL-06BZ;24990;6;
FR5115WL-01BZ;5590;1;
FR5036PL-05N;19990;5;
FR5036PL-08N;29890;8;
FR5036WL-01N;4490;1;
FR5230WL-01BS;0;1;
FR5173PL-06BS;12590;6;
FR5173PL-08BS;17590;8;
FR5176PL-05BS;9790;5;
FR5176PL-08BS;13990;8;
FR5176WL-01BS;2090;1;
FR5127PL-06B;14990;6;
FR5127PL-08B;19890;8;
FR5127WL-02B;5290;2;
FR5182PL-03CH;25990;3;
FR5182PL-03FG;25990;3;
FR5182PL-06CH;53990;6;
FR5182PL-06FG;53990;6;
FR5198PL-06BS;24970;6;
FR5198PL-06CH;23930;6;
FR5198WL-01BS;6910;1;
FR5198WL-01CH;6780;1;
FR5098PL-05BBS;10990;5;
FR5098PL-08BBS;16990;8;
FR5098WL-01BBS;2990;1;
FR5200PL-09FG;18990;9;
FR5104PL-06BS;25990;6;
FR5104PL-06BS2;25990;6;
FR5104PL-06BS3;20990;6;
FR5104PL-06N;24990;6;
FR5104PL-08BS;29990;8;
FR5104PL-08BS2;29990;8;
FR5104PL-08BS3;29990;8;
FR5104PL-08N;29990;8;
FR5104WL-02BS;5590;2;
FR5104WL-02N;5590;2;
FR5169PL-05W;15590;5;
FR5169WL-01W;3990;1;
FR8014PL-04BS;13990;4;
FR8015PL-04BS;14990;4;
FR5165PL-06S;15990;6;
FR5165PL-06W;15990;6;
FR5165PL-10S;24990;10;
FR5165PL-10W;24590;10;
FR5203PL-01BS;4590;1;
FR5203PL-01CH;4590;1;
FR5203PL-10BS;18980;10;
FR5203PL-10CH;18980;10;
FR5203PL-10CH1;18980;10;
FR5203PL-16BS;29990;16;
FR5203PL-16CH;29990;16;
FR5203PL-16CH1;29990;16;
FR5203WL-02BS;4890;2;
FR5203WL-02CH;4590;2;
FR5203WL-02CH1;4890;2;
FR5053PL-06BS;24990;6;
FR5053PL-06N;24990;6;
FR5053PL-08BS;33990;8;
FR5053PL-08N;33990;8;
FR5053WL-02BS;7990;2;
FR5053WL-02N;7990;2;
FR2028PL-01N;3990;1;
FR2028PL-03N;8990;3;
FR2028PL-05N;12980;5;
FR2028PL-07N;16980;7;
FR2028TL-01N;5890;1;
FR2028WL-01N;2980;1;
FR5204PL-06BS;13590;6;
FR5204PL-08BS;17590;8;
FR5204WL-01BS;3190;1;
FR5197PL-05BS;29890;5;
FR5197PL-05CH;27980;5;
FR5197WL-01BS;2900;1;
FR5197WL-01CH;2900;1;
FR5168PL-L3B;4390;0;
FR5168PL-L3CH;4390;0;
FR5168PL-L3G;4390;0;
FR5168PL-L3W;4390;0;
FR5196PL-06BBS;14800;6;
FR5196PL-06CH;14800;6;
FR5196PL-08BBS;19900;8;
FR5196PL-08CH;19900;8;
FR5196WL-01BBS;2890;1;
FR5196WL-01CH;2890;1;
FR8013PL-01AM;4990;1;
FR8012PL-01BS;5990;1;
FR8012PL-01AM;5990;1;
FR8012PL-01GN;7490;1;
FR5199PL-03BS;8590;3;
FR5199PL-05B;9990;5;
FR5199PL-05BS;10990;5;
FR5199PL-05BS1;10990;5;
FR5199PL-08BS;17990;8;
FR5199PL-08BS1;17990;8;
FR5143WL-01G;6590;1;
FR5143PL-07G;28990;7;
FR5143PL-09G;44990;9;
FR5135PL-01BS;4490;1;
FR5136PL-01BS;5990;1;
FR5137PL-01BS;7790;1;
